num;question;a;b;c;d;solution;area_code;area;theme;image;Tags\
1;In Deutschland d\'fcrfen Menschen offen etwas gegen die Regierung sagen, weil ...;hier Religionsfreiheit gilt.;die Menschen Steuern zahlen.;die Menschen das Wahlrecht haben.;hier Meinungsfreiheit gilt.;d;politik;Politik in der Demokratie;Grundrechte;-;\
2;In Deutschland k\'f6nnen Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am ...;Geschichtsunterricht teilnimmt.;Religionsunterricht teilnimmt.;Politikunterricht teilnimmt.;Sprachunterricht teilnimmt.;b;politik;Politik in der Demokratie;Grundrechte;-;\
3;Deutschland ist ein Rechtsstaat. Was ist damit gemeint?;Alle Einwohner / Einwohnerinnen und der Staat m\'fcssen sich an die Gesetze halten.;Der Staat muss sich nicht an die Gesetze halten.;Nur Deutsche m\'fcssen die Gesetze befolgen.;Die Gerichte machen die Gesetze.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
4;Welches Recht geh\'f6rt zu den Grundrechten in Deutschland?;Waffenbesitz;Faustrecht;Meinungsfreiheit;Selbstjustiz;c;politik;Politik in der Demokratie;Grundrechte;-;\
5;Wahlen in Deutschland sind frei. Was bedeutet das?;Man darf Geld annehmen, wenn man daf\'fcr einen bestimmten Kandidaten / eine bestimmte Kandidatin w\'e4hlt.;Der W\'e4hler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.;Nur Personen, die noch nie im Gef\'e4ngnis waren, d\'fcrfen w\'e4hlen.;Alle wahlberechtigten Personen m\'fcssen w\'e4hlen.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;\
6;Wie hei\'dft die deutsche Verfassung?;Volksgesetz;Bundesgesetz;Deutsches Gesetz;Grundgesetz;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
7;Welches Recht geh\'f6rt zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf ...;Glaubens- und Gewissensfreiheit;Unterhaltung;Arbeit;Wohnung;a;politik;Politik in der Demokratie;Grundrechte;-;\
8;Was steht nicht im Grundgesetz von Deutschland?;Die W\'fcrde des Menschen ist unantastbar.;Alle sollen gleich viel Geld haben.;Jeder Mensch darf seine Meinung sagen.;Alle sind vor dem Gesetz gleich.;b;politik;Politik in der Demokratie;Grundrechte;-;\
9;Welches Grundrecht gilt in Deutschland nur f\'fcr Ausl\'e4nder / Ausl\'e4nderinnen? Das Grundrecht auf ...;Schutz der Familie;Menschenw\'fcrde;Asyl;Meinungsfreiheit;c;politik;Politik in der Demokratie;Grundrechte;-;\
10;Was ist mit dem deutschen Grundgesetz vereinbar?;die Pr\'fcgelstrafe;die Folter;die Todesstrafe;die Geldstrafe;d;politik;Politik in der Demokratie;Grundrechte;-;\
11;Wie wird die Verfassung der Bundesrepublik Deutschland genannt?;Grundgesetz;Bundesverfassung;Gesetzbuch;Verfassungsvertrag;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
12;Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das m\'f6glich?;Ja, wenn mehr als die H\'e4lfte der Abgeordneten im Bundestag daf\'fcr sind.;Ja, aber dazu m\'fcssen zwei Drittel der Abgeordneten im Bundestag daf\'fcr sein.;Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.;Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.;c;politik;Politik in der Demokratie;Grundrechte;-;\
13;Im Parlament steht der Begriff \'84Opposition\'93 f\'fcr...;die regierenden Parteien.;alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien geh\'f6ren.;die Fraktion mit den meisten Abgeordneten.;alle Parteien, die bei der letzten Wahl die 5%-H\'fcrde erreichen konnten.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult\
14;Meinungsfreiheit in Deutschland hei\'dft, dass ich ...;auf Flugbl\'e4ttern falsche Tatsachen behaupten darf.;meine Meinung in Leserbriefen \'e4u\'dfern kann.;Nazi-Symbole tragen darf.;Meine Meinung sagen darf, solange ich der Regierung nicht widerspreche.;b;politik;Politik in der Demokratie;Grundrechte;-;\
15;Was verbietet das deutsche Grundgesetz?;Milit\'e4rdienst;Zwangsarbeit;freie Berufswahl;Arbeit im Ausland;b;politik;Politik in der Demokratie;Grundrechte;-;\
16;Wann ist die Meinungsfreiheit in Deutschland eingeschr\'e4nkt?;bei der \'f6ffentlichen Verbreitung falscher Behauptungen \'fcber einzelne Personen;bei Meinungs\'e4u\'dferungen \'fcber die Bundesregierung;bei Diskussionen \'fcber Religionen;bei Kritik am Staat;a;politik;Politik in der Demokratie;Grundrechte;-;\
17;Die deutschen Gesetze verbieten ...;Meinungsfreiheit der Einwohner und Einwohnerinnen.;Petitionen der B\'fcrger und B\'fcrgerinnen.;Versammlungsfreiheit der Einwohner und Einwohnerinnen.;Ungleichbehandlung der B\'fcrger und B\'fcrgerinnen durch den Staat.;d;politik;Politik in der Demokratie;Grundrechte;-;difficult\
18;Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?;die Unantastbarkeit der Menschenw\'fcrde;das Recht auf Leben;Religionsfreiheit;Meinungsfreiheit;a;politik;Politik in der Demokratie;Grundrechte;-;\
19;Was versteht man unter dem Recht der \'84Freiz\'fcgigkeit\'93 in Deutschland?;Man darf sich seinen Wohnort selbst aussuchen.;Man kann seinen Beruf wechseln.;Man darf sich f\'fcr eine andere Religion entscheiden.;Man darf sich in der \'d6ffentlichkeit nur leicht bekleidet bewegen.;a;politik;Politik in der Demokratie;Grundrechte;-;\
20;Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann ...;tolerant.;rechtsstaatlich orientiert.;gesetzestreu.;verfassungswidrig.;d;politik;Politik in der Demokratie;Verfassungsorgane;-;\
21;Welches ist das Wappen der Bundesrepublik Deutschland?;1;2;3;4;a;politik;Politik in der Demokratie;Staatssymbole;frage_21;image\
22;Was f\'fcr eine Staatsform hat Deutschland?;Monarchie;Diktatur;Republik;F\'fcrstentum;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;\
